id,listing_url,name,picture_url,host_name,host_since,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
42034173,https://www.airbnb.com/rooms/42034173,Great room for two near Amstel river Amsterdam south/east,https://a0.muscache.com/pictures/f01b35f2-628a-408f-8825-eed1ad608cbe.jpg,Peter,2017-07-03,f,t,Watergraafsmeer,52.33673,4.93147,Private room in condo,Private room,2,$71.00,2,0,,,,,,,
42035016,https://www.airbnb.com/rooms/42035016,Lovely top floor room for two near Amstel river,https://a0.muscache.com/pictures/0a28b342-658b-4537-949a-da1ba1d3088f.jpg,Peter,2017-07-03,f,t,Watergraafsmeer,52.33677,4.93309,Private room in condo,Private room,2,$71.00,2,0,,,,,,,
42058295,https://www.airbnb.com/rooms/42058295,Stunning canal penthouse  incl. FREE citytour!!!,https://a0.muscache.com/pictures/0be53c80-fc8b-4107-9a00-81eb8ac1b1ef.jpg,Robin,2016-10-12,f,t,Centrum-Oost,52.36621,4.89658,Entire rental unit,Entire home/apt,4,$425.00,2,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0
42061032,https://www.airbnb.com/rooms/42061032,Romantic room in historic building,https://a0.muscache.com/pictures/821476af-962d-48ee-9288-9ee732fcaaeb.jpg,Olof,2016-10-27,t,t,De Baarsjes - Oud-West,52.37022,4.87201,Private room in rental unit,Private room,2,$55.00,3,77,4.92,4.95,4.92,4.95,4.94,4.81,4.86
42093752,https://www.airbnb.com/rooms/42093752,"Corendon City Hotel Amsterdam, Standard Double",https://a0.muscache.com/pictures/prohost-api/Hosting-42093752/original/046c0255-635a-440a-89a4-e75a529fa4b0.jpeg,Reservations,2020-01-07,f,t,Slotervaart,52.3456,4.83049,Room in hotel,Private room,2,$136.00,1,0,,,,,,,
42093910,https://www.airbnb.com/rooms/42093910,"Corendon City Hotel Amsterdam, Standard Twin",https://a0.muscache.com/pictures/prohost-api/Hosting-42093910/original/8d7945a1-a0b4-43a6-874d-493f8d835058.jpeg,Reservations,2020-01-07,f,t,Slotervaart,52.34633,4.83179,Room in hotel,Private room,2,$136.00,1,0,,,,,,,
42094224,https://www.airbnb.com/rooms/42094224,"Corendon City Hotel Amsterdam, Standard Triple",https://a0.muscache.com/pictures/prohost-api/Hosting-42094224/original/39ea7825-62eb-4ee5-89ef-84f6d47422ed.jpeg,Reservations,2020-01-07,f,t,Slotervaart,52.34609,4.83198,Room in hotel,Private room,3,$181.00,1,0,,,,,,,
42094349,https://www.airbnb.com/rooms/42094349,"Corendon City Hotel Amsterdam, Deluxe Double",https://a0.muscache.com/pictures/prohost-api/Hosting-42094349/original/d0910ca1-5b5c-47e9-8225-278e5e88a45e.jpeg,Reservations,2020-01-07,f,t,Slotervaart,52.34601,4.83205,Room in hotel,Private room,2,$156.00,1,0,,,,,,,
42094753,https://www.airbnb.com/rooms/42094753,"Corendon City Hotel Amsterdam, Vitality Twin",https://a0.muscache.com/pictures/prohost-api/Hosting-42094753/original/4ad71114-b975-451b-92ea-4dea34076e89.jpeg,Reservations,2020-01-07,f,t,Slotervaart,52.34697,4.83004,Room in hotel,Private room,2,$136.00,1,0,,,,,,,
42096554,https://www.airbnb.com/rooms/42096554,"Corendon City Hotel Amsterdam, Junior Suite",https://a0.muscache.com/pictures/prohost-api/Hosting-42096554/original/44d754fc-ecff-44dd-854c-5a63129db637.png,Reservations,2020-01-07,f,t,Slotervaart,52.34732,4.83167,Room in hotel,Private room,2,$186.00,1,0,,,,,,,
42096643,https://www.airbnb.com/rooms/42096643,"Corendon City Hotel Amsterdam, Suite",https://a0.muscache.com/pictures/prohost-api/Hosting-42096643/original/ed3c450d-01ad-4aec-a20e-cde79b185d80.png,Reservations,2020-01-07,f,t,Slotervaart,52.34567,4.82981,Room in hotel,Private room,2,$386.00,1,0,,,,,,,
