address,id,lat,lng,location,name,subCategory,details,reviews
,89789,48.866168657559,2.393581867218,Paris,Bains-Douches de la Bidassoa,Pool,http://tour-pedia.org/api/getPlaceDetails?id=89789,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89789
Polo De Paris,91068,48.866281579733,2.235449552536,Paris,Piscine Du Polo De Paris,Pool,http://tour-pedia.org/api/getPlaceDetails?id=91068,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91068
,87653,48.839553008584,2.4132776968189,Paris,Billard Nation,Pool Hall,http://tour-pedia.org/api/getPlaceDetails?id=87653,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87653
92 Boulevard de Clichy,83364,48.883926392329,2.3321795723089,Paris,O'Sullivan's by the mill : Backstage by the mill,Pub,http://tour-pedia.org/api/getPlaceDetails?id=83364,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83364
77 rue Saint-Dominique,83395,48.859823799534,2.3086759131341,Paris,O'Brien's Irish Pub,Pub,http://tour-pedia.org/api/getPlaceDetails?id=83395,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83395
5 Rue de Presbourg,83396,48.872161787079,2.2952509305633,Paris,Sir Winston,Pub,http://tour-pedia.org/api/getPlaceDetails?id=83396,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83396
17 Rue de l'Ancienne Comédie,83399,48.852877154365,2.3390702392648,Paris,Pub Saint-Germain,Pub,http://tour-pedia.org/api/getPlaceDetails?id=83399,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83399
32 Rue Muller,83422,48.886402,2.34514,Paris,Le Soleil de la Butte,Pub,http://tour-pedia.org/api/getPlaceDetails?id=83422,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83422
110 Boulevard de Clichy,83781,48.884444616735,2.3306465148926,Paris,Corcoran's,Pub,http://tour-pedia.org/api/getPlaceDetails?id=83781,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83781
13 quai des Grands Augustins,83789,48.8540715,2.343848,Paris,Galway,Pub,http://tour-pedia.org/api/getPlaceDetails?id=83789,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83789
42 Rue du Montparnasse,83902,48.842784,2.326128,Paris,Falstaff,Pub,http://tour-pedia.org/api/getPlaceDetails?id=83902,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83902
