address,id,lat,lng,location,name,subCategory,,
"Viale Sacco e Vanzetti, 132",24433,41.911228863505,12.569647683114,Rome,Biliardino del bar Maia,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=24433,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=24433
,25748,41.7369,12.2819,Rome,Planet Win 365,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=25748,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=25748
,25842,41.858147,12.442218,Rome,Parco Morelli,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=25842,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=25842
,25843,41.858147,12.442218,Rome,Parco Morelli,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=25843,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=25843
Viale delle Belle Arti 131,408,41.916787600513,12.481426603731,Rome,Galleria Nazionale d'Arte Moderna,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=408,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=408
,3274,41.87334,12.512015,Rome,Galleria D Arte EUROPA,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=3274,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=3274
,4078,41.734731518433,12.358415610177,Rome,mondopop,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=4078,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=4078
,4928,41.7712435624,12.359450402587,Rome,Carmela,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=4928,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=4928
"Via Massimiliano Massimo, 1",5484,41.829686,12.457168,Rome,Auditorium Il Massimo,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=5484,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5484
,7374,41.892100194313,12.608556157142,Rome,Via Dell Omo Cinese,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=7374,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7374
,8142,41.904062625146,12.454126552312,Rome,Galleria Chiaramonti,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=8142,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8142
"Via Guglielmo Pallavicini, 21 - 23",8439,41.80424535647,12.445291997865,Rome,Solobuio Visual Factory,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=8439,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8439
,11872,41.893922272439,12.416266716899,Rome,Galleria D'antiquariato,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=11872,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=11872
Via Ozanam 134,11970,41.876514283939,12.453863437692,Rome,Lo Scrittoio Di Salvo Parrello,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=11970,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=11970
,11992,41.900997128272,12.387331855358,Rome,Galleria D Arte,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=11992,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=11992
,12687,41.897106818867,12.539290041739,Rome,Secondo Piano,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=12687,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=12687
Via Tojatti,12859,41.94669,12.54842,Rome,Tojatti Street,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=12859,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=12859
Via Palmiro Togliatti,12860,41.853591031948,12.571045982996,Rome,Puttan Tour,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=12860,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=12860
Via Placido Zurla 49/B,12867,41.883788038075,12.534522525525,Rome,Chromany,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=12867,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=12867
Via braccio da montone 56,12951,41.889251669173,12.530121803284,Rome,Laszlo biro,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=12951,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=12951
Viale Vaticano,13450,41.903271946996,12.454988676828,Rome,Stanze di Raffaello,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=13450,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=13450
Via dei treviri,13504,41.859113048939,12.553907550754,Rome,Garagezero,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=13504,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=13504
,14421,41.808186801078,12.322746281751,Rome,Casaidea,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=14421,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=14421
,14566,41.894693,12.464979,Rome,Fondazione Volume,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=14566,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=14566
Nuova Fiera Di Roma,14710,41.804292411595,12.323758377911,Rome,Leica Stand Padiglione 11,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=14710,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=14710
Via Pietro Ruga 24,14729,41.882984,12.538019,Rome,Wo-ma'n Gallery,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=14729,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=14729
,14921,41.887591275298,12.542797177785,Rome,galleria nazionale d'arte moderna,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=14921,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=14921
,15155,41.808640887674,12.442175046094,Rome,officina materica,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=15155,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=15155
Via Costanzo Cloro 58,15194,41.858404801731,12.481661784385,Rome,WSP photography,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=15194,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=15194
,15351,41.905975753491,12.453818652285,Rome,Pinacoteca dei  Musei Vaticani,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=15351,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=15351
Via del Serafico 108/120,15456,41.830272861935,12.487893104553,Rome,Tornatora Art Gallery,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=15456,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=15456
,15550,41.904515699927,12.454260908949,Rome,Galleria delle Carte Geografiche,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=15550,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=15550
Viale Somalia 33,16091,41.9358,12.511121,Rome,Nomas Foundation,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=16091,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=16091
,16784,41.892635892063,12.568986430959,Rome,Crack! Fumetti Dirompenti,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=16784,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=16784
,17101,41.946588,12.547405,Rome,Aznavour Party,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=17101,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=17101
,19287,41.917212293685,12.462188231799,Rome,Via Oslavia,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=19287,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=19287
,19702,41.784386,12.34415,Rome,Studio D'Arte FebArtLine,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=19702,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=19702
,19992,41.953647613525,12.482455253601,Rome,giammetta & giammetta,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=19992,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=19992
"Circonvallazione Gianicolense, 420",20406,41.877621625292,12.44077205658,Rome,Piano Creativo - Studio 420,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=20406,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=20406
Via Latina 15A,20564,41.849504492529,12.515006348351,Rome,Galleria Porta Latina,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=20564,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=20564
,20631,41.862794,12.420333,Rome,Bellablu,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=20631,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=20631
Via Portuense 201,20750,41.871526189666,12.466371059418,Rome,Label201,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=20750,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=20750
,21539,41.813598265309,12.483599243482,Rome,centro culturale elsa morante,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=21539,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=21539
,21958,41.873732,12.447193,Rome,Sorgente Tattoo ArtGallery,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=21958,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=21958
,22005,41.880159337277,12.535693377777,Rome,Pescheria,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=22005,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=22005
,22373,41.850923,12.456385,Rome,Freestylerz Studio,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=22373,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=22373
Via Degli Anemoni 6,22430,41.876039047386,12.565119863031,Rome,Eikona Studio,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=22430,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=22430
,22916,41.917640686035,12.567965507507,Rome,Studio Gianorso,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=22916,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=22916
"Via Matricardi, 10",23369,41.854476,12.446251,Rome,Associazione Culturale Insieme Per L'arte,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=23369,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=23369
,23500,41.897029876709,12.563950538635,Rome,Pandemonium,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=23500,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=23500
