address,id,lat,lng,location,name,,,
St George's Hospital,58534,51.432212,-0.176509,London,Game Room,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=58534,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=58534
,58889,51.539903,0.082183,London,Caesars Estate,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=58889,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=58889
,59420,51.525249571878,-0.023712380133791,London,The place next to Secret Clubhouse,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=59420,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=59420
,59421,51.525172428503,-0.023385495308519,London,Secret Clubhouse,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=59421,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=59421
,59809,51.393098377531,-0.16440005052628,London,Tyres Direct,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=59809,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=59809
"Check-in Hall, Terminal 3",60149,51.47159186659,-0.45690526096448,London,Voyager Entertainment,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=60149,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=60149
,60793,51.408719230129,0.010633940825911,London,Bromley Quasar Elite,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=60793,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=60793
,61115,51.3970107,0.005004,London,Moretons Bromley,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=61115,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=61115
,61537,51.59068365,-0.14182055,London,Playing Sniper Ghost Warrior On PS3,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=61537,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=61537
Mall,63478,51.54095,0.148755,London,Buddies bunjee,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=63478,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=63478
,63746,51.477932087313,0.037494662551004,London,Development House,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=63746,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=63746
,64576,51.561823174938,-0.056857443959508,London,Monorex,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=64576,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=64576
,65384,51.418524505299,0.0012243396179553,London,Quaser,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=65384,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=65384
,67052,51.447666,-0.174434,London,Club Hill,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=67052,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=67052
Russ' House,68076,51.588239,-0.479569,London,Halo Day,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=68076,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=68076
,68797,51.585102081299,-0.21066680550575,London,Ramp,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=68797,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=68797
,70081,51.601275,-0.058782,London,Tango On Blackberry With: Arzu,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=70081,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=70081
,70654,51.416785648356,-0.071524891379777,London,Crystal Rooms,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=70654,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=70654
,71290,51.363515955649,-0.19436629475064,London,Laser Quest Sutton,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=71290,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=71290
,71441,51.387781,-0.114451,London,Zante Time Yet?,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=71441,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=71441
,71833,51.531242995561,-0.011832888171208,London,Heleland,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=71833,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=71833
,72021,51.448,-0.409143,London,ΓΟΠ feltham,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=72021,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=72021
,72090,51.488034155137,-0.31696311958062,London,FTP Brentford,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=72090,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=72090
,73616,51.663047,-0.084668,London,Forrest Poker Hall,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=73616,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=73616
42 -44 Brooksby's Walk,73624,51.55035,-0.043248,London,Mini Mini Yeah Yeah Market (Chats Palace),Arcade,http://tour-pedia.org/api/getPlaceDetails?id=73624,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=73624
,73759,51.475385,0.037122,London,Virtual Darts,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=73759,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=73759
,73885,51.61271989417,-0.17522158514041,London,Sarah and Farah's den of iniquity,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=73885,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=73885
,75158,51.454288482666,-0.077457666397095,London,laiths house,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=75158,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=75158
,75372,51.50870405348,0.026093099862124,London,EAG Expo,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=75372,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=75372
Brooke Lodge,76091,51.548923735538,-0.11323213577271,London,Maniac Mansion,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=76091,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=76091
10 Cullen Way,77528,51.525083223132,-0.26536172436992,London,The Heart Of Gaming,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=77528,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=77528
