address,name,id,lat,lng,location,subCategory,details,reviews
Wilhelminenhifstr. 32,"Cascada - Steakhaus, Pizzeria",105054,52.461512267974,13.518168727765,Berlin,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=105054,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=105054
,Everest,114168,52.489131569978,13.31622439209,Berlin,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=114168,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114168
Kurfürstenstraße 79,Rivado Argentinisches Beefsteak,97305,52.50409453923,13.346092191684,Berlin,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=97305,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=97305
Weitlingstr. 34,Steakhaus Asado,98483,52.507891,13.496945,Berlin,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=98483,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=98483
Danckelmannstr. 1,Cordoba,97260,52.517590512897,13.290219786484,Berlin,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=97260,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=97260
Hönower Srasse 189,Steakhaus Barbecue,107039,52.52182835152,13.618971158704,Berlin,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=107039,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=107039
Oranienstrasse 45,Globos,95750,52.524161,13.247866,Berlin,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=95750,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=95750
Turmstraße 34,San Juan,96736,52.526368644168,13.339350881299,Berlin,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=96736,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=96736
Roonstr. 13,Plancha II,94978,52.541888004565,13.199351507241,Berlin,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=94978,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=94978
,Las Vigas,113398,52.548804,13.354565,Berlin,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=113398,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=113398
Rodenbergstr. 2,Buffalo,97082,52.551289,13.414883,Berlin,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=97082,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=97082
Wisbyer Straße 51,Colonia Haus,109343,52.553062438965,13.42381477356,Berlin,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=109343,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=109343
,Gaucho Steakhouse,112840,52.560585848962,13.334624512636,Berlin,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=112840,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=112840
,Döneria,109676,52.570624,13.410538,Berlin,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=109676,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=109676
Oranienburger Straße 72,Steakhaus Mendoza,114346,52.59163014,13.33391824,Berlin,Argentinian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=114346,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114346
Argentinische Allee 30,Haus am Waldsee,92379,52.442097492029,13.238527464079,Berlin,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=92379,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=92379
