name,lat,lng,location,subcategory
Robic Wielerlab,52.339841,4.808852,Amsterdam,Athletics & Sports
The Bootcamp Club,52.359773,4.815889,Amsterdam,Athletics & Sports
The Color Run,52.36932938,4.816719893,Amsterdam,Athletics & Sports
amsterdam panthers,52.38584217,4.827632854,Amsterdam,Athletics & Sports
Sporthal Laan van Spartaan,52.37264206,4.840572716,Amsterdam,Athletics & Sports
Health Club Open Air Rembrandpark,52.36806338,4.844173654,Amsterdam,Athletics & Sports
health city,52.35436134,4.842080961,Amsterdam,Athletics & Sports
Bootcamp@Rembrandtpark by Healthclub OpenAir,52.36599795,4.841640953,Amsterdam,Athletics & Sports
Startvak 21km,52.34449648,4.857574337,Amsterdam,Athletics & Sports
Fit & Fruitig Personal Training,52.34685928,4.901817808,Amsterdam,Athletics & Sports
Poseidon,52.33724135,4.908478941,Amsterdam,Athletics & Sports
Gym - mercury hotel,52.33529298,4.913558047,Amsterdam,Athletics & Sports
Finish Lady's run,52.38576508,4.911056042,Amsterdam,Athletics & Sports
Winterdijkplein,52.34322586,4.904703099,Amsterdam,Athletics & Sports
bootcamp@park Frankendaal,52.35249503,4.930315121,Amsterdam,Athletics & Sports
Bootcamp.,52.35262874,4.931436801,Amsterdam,Athletics & Sports
Running Track,52.35368293,4.937429005,Amsterdam,Athletics & Sports
Rokjesdagloop,52.355437,4.956045,Amsterdam,Athletics & Sports
Weersloot,52.389462,4.979159,Amsterdam,Athletics & Sports
Duurloop Running Holland,52.382127,5.002586,Amsterdam,Athletics & Sports
Akvo Foundation,52.37224557,4.907562733,Amsterdam,Auditorium
Alex Auditorium,52.33562752,4.888100624,Amsterdam,Auditorium
ACS Logistics,52.41571791,4.761929512,Amsterdam,Auditorium
OORbit geluidsstudio,52.394277,4.837126,Amsterdam,Auditorium
Augustina Kerk,52.37685726,4.853365634,Amsterdam,Auditorium
In De Bajes,52.385312,4.850435,Amsterdam,Auditorium
Auditorium,52.369192,4.843891,Amsterdam,Auditorium
LifeStylePress,52.38529504,4.929862618,Amsterdam,Auditorium
Regus,52.38575356,4.84303181,Amsterdam,Auditorium
PhoneGap Day EU,52.37032985,4.89788298,Amsterdam,Auditorium
Melis Smokehof,52.3773774,4.811679125,Amsterdam,Auditorium
Tmc,52.390609,4.938147,Amsterdam,Auditorium
Crematorium Westgaarde,52.35923393,4.776273298,Amsterdam,Auditorium
Reed Elsevier - Herman Boerhaave Room,52.3903809,4.8392672,Amsterdam,Auditorium
Spirit,52.379423,4.799576,Amsterdam,Auditorium
Igreja Cristã Maranata,52.34437732,4.805641255,Amsterdam,Auditorium
GAUC 2013,52.35845382,4.807159709,Amsterdam,Auditorium
Auditorium ING House,52.33708441,4.85553844,Amsterdam,Auditorium
Thenextweb,52.37726257,4.858010482,Amsterdam,Auditorium
Facebook Studio Edge,52.386021,4.872929,Amsterdam,Auditorium
EASDP Congress 2013,52.351515,4.872771,Amsterdam,Auditorium
NSF Training,52.362656,4.880098,Amsterdam,Auditorium
spiegelzaal,52.35642089,4.879602851,Amsterdam,Auditorium
Emerce eHome & Deco 2013,52.341912,4.888068,Amsterdam,Auditorium
Park Foyer,52.34002576,4.888539774,Amsterdam,Auditorium
HVAC Training,52.36985649,4.896884176,Amsterdam,Auditorium
Renaissance Conference Center,52.378071,4.894396,Amsterdam,Auditorium
Distelweg Brug,52.391338,4.908013,Amsterdam,Auditorium
"Railteam WG2 Meeting, Amsterdam",52.37773958,4.901495497,Amsterdam,Auditorium
SHOOT,52.376667,4.922156,Amsterdam,Auditorium
GKf Jaarver . 2013,52.376727,4.922095,Amsterdam,Auditorium
Vodafone Twitter room,52.37640856,4.905944516,Amsterdam,Auditorium
BB10 Jam World Tour Amsterdam,52.37694021,4.904860456,Amsterdam,Auditorium
IJland Studio,52.373996,4.93544,Amsterdam,Auditorium
De Fluiter,52.37926945,4.856764982,Amsterdam,Bar
De Groene Vlinder,52.3555,4.89306,Amsterdam,Bar
Ice Bar,52.36654161,4.900150849,Amsterdam,Bar
Café De Magere Brug,52.36370444,4.903044,Amsterdam,Bar
Cafe Sao Paulo,52.35742057,4.854676722,Amsterdam,Bar
De Doofpot,52.35406888,4.855717033,Amsterdam,Bar
Café Hans,52.35359658,4.855793,Amsterdam,Bar
In de Ban,52.40644949,4.917171874,Amsterdam,Bar
Café De Zuid,52.37645566,4.937823,Amsterdam,Bar
Krant Cafe TMG,52.39205155,4.833472973,Amsterdam,Bar
Café Luus,52.34275862,4.876532708,Amsterdam,Bar
t Sterntje,52.38084379,4.854049096,Amsterdam,Bar
t Binnepretje,52.38157216,4.856386185,Amsterdam,Bar
Café 't Lommertje,52.378605,4.850439,Amsterdam,Bar
t Praathuis,52.340102,4.943128,Amsterdam,Bar
Café Tabac,52.38030293,4.88852575,Amsterdam,Bar
Café Thijssen,52.38069434,4.887566607,Amsterdam,Bar
cafe bascule,52.39933443,4.935423262,Amsterdam,Bar
La Rosa,52.399524,4.93536,Amsterdam,Bar
Cafe Ot En Sien,52.38770149,4.914278984,Amsterdam,Bar
Petit Café Zomerlust,52.38084893,4.820887151,Amsterdam,Bar
Café Gollem,52.356207,4.890877,Amsterdam,Bar
Dok 13,52.39744,4.8776,Amsterdam,Bar
Cafe Fonk,52.35122732,4.889388084,Amsterdam,Bar
Café Schilders,52.35521171,4.89317538,Amsterdam,Bar
Flinck,52.3550097,4.893331009,Amsterdam,Bar
Chocolate Bar,52.35514607,4.892992973,Amsterdam,Bar
Zuidpool,52.341384,4.88657,Amsterdam,Bar
Okura Lobby Bar,52.34859635,4.893619,Amsterdam,Bar
Café Pico,52.35522895,4.89021774,Amsterdam,Bar
Flevor,52.36270325,4.94896618,Amsterdam,Bar
TBWA\ Bar,52.34275844,4.846219416,Amsterdam,Bar
Café Het Paardje,52.35608053,4.892693139,Amsterdam,Bar
De Pilsvogel,52.35587843,4.892879844,Amsterdam,Bar
Eddy Bar,52.35549752,4.890750692,Amsterdam,Bar
G's,52.38076009,4.88445282,Amsterdam,Bar
ActaBar,52.336101,4.861546,Amsterdam,Bar
Stichting Trefcentrum Jongerenflat Amsterdam Noord,52.40357791,4.93516034,Amsterdam,Bar
J.A.N. Café De Afdeling,52.40195412,4.935768843,Amsterdam,Bar
Café 'De Blauwe Druif',52.380541,4.890998,Amsterdam,Bar
t Blaauwhooft,52.383677,4.88883,Amsterdam,Bar
Proeflokaal Arendsnest,52.37664003,4.88958257,Amsterdam,Bar
De Pels,52.36886709,4.885225362,Amsterdam,Bar
Zanzibar Bar Privé,52.35782,4.989874363,Amsterdam,Bar
"Café Knibbel, Knabbel, Knuisje",52.37009703,4.849433899,Amsterdam,Bar
Kleine Nachtwacht,52.363383,4.836514,Amsterdam,Bar
Cafe Sportpark,52.3746373,4.857738548,Amsterdam,Bar
De Sluyswacht,52.36976881,4.901713991,Amsterdam,Bar
Café Brandon,52.37534761,4.88619837,Amsterdam,Bar
Café van Leeuwen,52.36397514,4.898372424,Amsterdam,Bar
MTTM Bar,52.39010933,4.83035,Amsterdam,Bar
De Kat in de Wijngaert,52.380191,4.884229,Amsterdam,Bar
East of Eden,52.36304804,4.923849106,Amsterdam,Bar
Ruk & Pluk,52.35747,4.926745,Amsterdam,Bar
Marathonweg - coffee - grill - bar,52.348562,4.860709,Amsterdam,Bar
Weber,52.364933,4.880492,Amsterdam,Bar
Lux,52.364831,4.880536,Amsterdam,Bar
Cox,52.363923,4.881731,Amsterdam,Bar
The Flying Dutchman,52.377768,4.896182,Amsterdam,Bar
De Ster,52.377845,4.896184,Amsterdam,Bar
Elsa's Café,52.35312166,4.931743182,Amsterdam,Bar
De Bult,52.3915088,4.913054384,Amsterdam,Bar
Cafe De Toog,52.362058,4.867719,Amsterdam,Bar
Amsterdam Chapter,52.404465,4.802147325,Amsterdam,Bar
Café Wester,52.37589452,4.88403534,Amsterdam,Bar
De Nieuwe Lelie,52.37528774,4.880929459,Amsterdam,Bar
Lost in Amsterdam,52.3784192,4.895165,Amsterdam,Bar
Blarney Stone,52.37833897,4.895457781,Amsterdam,Bar
