address,name,id,lat,lng,location,subCategory,details,reviews
"Viale dei Consoli, 147-163",WOK Cinque Stelle,24236,41.864163758154,12.551912069321,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=24236,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=24236
Via Silicella 26,Lucky Wok,3614,41.864635325752,12.598286902681,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=3614,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=3614
,Green Tea,9729,41.867982,12.439123,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=9729,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=9729
,Wok,19400,41.878467559814,12.418608665466,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=19400,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=19400
Via Tiburtina 201,king sushi wok,23467,41.878810882568,12.570735931396,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=23467,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=23467
,Jing Yuan Ristorante,6659,41.895414841993,12.447140226282,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=6659,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=6659
via Gandino,il padiglione delle cicogne,16664,41.90191294929,12.437215680646,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=16664,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=16664
"Via Tiburtina, 717",Fuji,4932,41.911538518698,12.550954764845,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=4932,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=4932
Via Ettore Franceschini 49,Sushi Cin Cin,18129,41.912088173813,12.575627144031,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=18129,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=18129
,1688 ristorante a buffef,14892,41.912689004928,12.57033695847,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=14892,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=14892
"Via Tiburtina, 834","Wen Ming Jai Yuan ""CIVILTÀ della CASA""",22085,41.915657,12.561754,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=22085,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=22085
,Ristorante Cinese Emmanuele,17867,41.91568606804,12.418566827679,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=17867,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=17867
,New Tokio,10772,41.917882797423,12.538724203952,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=10772,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=10772
"Piazza Capri, 00141 Roma",La Grande Capitale,12364,41.946093133049,12.522988309349,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=12364,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=12364
Via Nomentana Km 10.500,Wok And Roll,22305,41.949576148957,12.570342562351,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=22305,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=22305
"Via Cassia, 917",Thien Kim Ristorante Vietnamita,4525,41.971174433508,12.433694998735,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=4525,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=4525
Centro Commerciale Porta di Roma,W.O.K.,1859,41.971710071963,12.540320882106,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=1859,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1859
72 Ma May,New Day Restaurant,1797,41.975327,12.512301,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=1797,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1797
,"restaurant thai, jap and chinese",19495,42.020847320557,12.375503540039,Rome,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=19495,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=19495
"Viale Guglielmo Marconi, 00146 Roma",Bar Marconi,12196,41.845190958089,12.472075766474,Rome,Bagel Shop,http://tour-pedia.org/api/getPlaceDetails?id=12196,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=12196
"Piazza Monte Grappa, 1",Haus Garten,23732,41.918114247043,12.469332253375,Rome,Bagel Shop,http://tour-pedia.org/api/getPlaceDetails?id=23732,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=23732
Piazza Delle Fiamme Gialle 20,Il Pane Di Ostia,10709,41.733395225519,12.291571503392,Rome,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=10709,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=10709
"Via Diego Simonetti, 64",La Reggia Del Pane,3207,41.737101418193,12.289061574846,Rome,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=3207,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=3207
"Via Angelo Olivieri, 140",Al Pachino Panetteria,11881,41.737107431685,12.291598320007,Rome,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=11881,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=11881
"Via Piola Caselli, 137",Magie di... pane e pizza,11596,41.738152197655,12.284962534904,Rome,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=11596,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=11596
Via Tagaste,Pizza Panzieri,16398,41.738155,12.271122,Rome,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=16398,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=16398
Via Raffaele Della Cosa,Forno Della Bianca,18004,41.73817394853,12.283980400516,Rome,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=18004,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=18004
Via delle Canarie,Il mio fornaio Giacinti,20543,41.739412306985,12.281185574032,Rome,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=20543,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=20543
,Il Mio Forno,17849,41.740836,12.286411,Rome,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=17849,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=17849
Centro Commerciale Le Terrazze,La Bottega del Fornaio,16237,41.751324692511,12.354416367018,Rome,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=16237,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=16237
,La Bottega Del Pane,23196,41.762861,12.371803,Rome,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=23196,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=23196
Via fabio gori,Panifici Tosoni,5301,41.763991922819,12.301539105142,Rome,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=5301,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5301
Via Di Acilia 13,La Boutique del fornaio,15326,41.775332140773,12.370744243271,Rome,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=15326,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=15326
"Via di Saponara, 203",Dal Mio Fornaio,3680,41.777884447783,12.354690436476,Rome,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=3680,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=3680
,La Bottega Del Fornaio,19199,41.778311,12.350402,Rome,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=19199,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=19199
