amsterdam-attraction
address,id,lat,lng,location,name,subCategory,details,reviews
neveritaweg 15,29864,52.401128688627,4.8959545567622,Amsterdam,NDSM Art Warp,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29864,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29864
Nieuwe Hemweg 4c,29395,52.394599914551,4.8660655021667,Amsterdam,Globe Centers,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29395,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29395
Nieuwendammerkade 24C,30623,52.390513637441,4.9390641708385,Amsterdam,Barn In The City,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30623,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30623
Ouderkerkerdijk 215,30037,52.323238675168,4.8963694139705,Amsterdam,oranjevelt,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30037,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30037
Schellingwouderdijk 243,30848,52.38426366819,4.9624729156494,Amsterdam,Keramiek Atelier en Galerie Marjoke de Heer,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30848,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30848
Sloterweg 712,29135,52.342652,4.820393,Amsterdam,atelier pipa,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29135,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29135
Spiegelgracht 61,30638,52.371386286753,4.9317127930103,Amsterdam,Gallery SIXTY ONE,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30638,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30638
Tolhuisweg 2,30087,52.384044813653,4.9058993289693,Amsterdam,Open Coop,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30087,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30087
Voc-Kade 10-12,30346,52.371663418954,4.9256904798219,Amsterdam,Mediamatic Fabriek,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30346,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30346
Weesperzijde 94,30401,52.352319,4.910933,Amsterdam,Galerie Weesperzijde,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30401,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30401
Westerdok 318,30197,52.38437499224,4.8917055130005,Amsterdam,Ateliers Westerdok,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30197,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30197
Wibautstraat 150,30375,52.353987,4.912056,Amsterdam,Volkskrantgebouw,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30375,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30375
Wieringerwaardstraat,30722,52.394778,4.956215,Amsterdam,Tattoo Linda,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30722,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30722
Wormerveerstraat 15,29581,52.389507636574,4.8765077758659,Amsterdam,WV 15,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29581,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29581
Zuider IJdijk 26,30761,52.368256288885,4.9603350315589,Amsterdam,Kunstenaarsdorp,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30761,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30761
,28578,52.360317,4.783522,Amsterdam,Sbk,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=28578,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28578
,28612,52.34634,4.78479,Amsterdam,Lelijk Kunstwerk,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=28612,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28612
,28662,52.351044254499,4.7947169683336,Amsterdam,De Serre,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=28662,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28662
,28904,52.416378,4.826716,Amsterdam,New Circle,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=28904,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28904
,29492,52.386114,4.873807,Amsterdam,Kallenbach Gallery,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29492,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29492
,29498,52.383915,4.872184,Amsterdam,Unruly Gallery,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29498,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29498
,30245,52.349852284281,4.9124352889694,Amsterdam,Studio Tuari,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30245,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30245
,30543,52.377547028309,4.9399223567095,Amsterdam,Bagagehal,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30543,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30543
,30652,52.371422,4.926347,Amsterdam,Fotohal & Roest,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30652,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30652
,30713,52.392165421848,4.9561854422783,Amsterdam,Modestraat,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30713,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30713
,30745,52.36581141114,4.9537314650843,Amsterdam,Graffiti HoF,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30745,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30745
,30790,52.390228271484,4.9498271942139,Amsterdam,Mama Frekkel,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=30790,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30790
Keizersgracht 609,29909,52.364019030188,4.8931494860057,Amsterdam,Foam Photography Museum,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=29909,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29909
Paulus Potterstraat 3,29637,52.359175858183,4.8837876319885,Amsterdam,Van Gogh Mile Start Museum Square,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=29637,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29637
,29001,52.385872,4.832956,Amsterdam,Deccaweg 26,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=29001,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29001
,30191,52.38481745943,4.9164157701031,Amsterdam,Troppenmuseum,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=30191,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30191
,30736,52.375191778018,4.9394169471119,Amsterdam,handbag and purse museum,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=30736,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30736
Nieuwe Hemweg 42,29394,52.394946309166,4.8649958779277,Amsterdam,ART4U kunstuitleen,Arts & Crafts Store,http://tour-pedia.org/api/getPlaceDetails?id=29394,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29394
Couhornerhoek 24,29843,52.422693066853,4.8971772193909,Amsterdam,3 and a Crowd,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=29843,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29843
Cruquiusweg 120a,30741,52.368884709801,4.9549519568136,Amsterdam,Krux Amsterdam - Creative Workspace,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=30741,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30741
Czaar Peterstraat 213,30650,52.371552992249,4.9255600483286,Amsterdam,Lasercity Amsterdam,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=30650,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30650
Jacob Obrechtstraat,29647,52.354813714781,4.8762785980148,Amsterdam,Koninklijk Concertgebouw Orkest,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=29647,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29647
Kometensingel 84HS,29844,52.415326866667,4.8922306666667,Amsterdam,Elwin Varkevisser Fotografie,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=29844,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29844
Meteorenweg 158,29708,52.412345,4.886869,Amsterdam,Badhuis- Bob Ross,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=29708,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29708
moezelhavenweg 9,29063,52.39093662306,4.8376954897221,Amsterdam,Energetica,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=29063,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29063
Willinklaan,28774,52.37152,4.803088,Amsterdam,Bounz,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=28774,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28774
,28514,52.37014,4.777237,Amsterdam,Playreal,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=28514,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28514
,30701,52.403137,4.960845,Amsterdam,Raku Workshop,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=30701,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30701
Amsterdam Sloterdijk,29072,52.388297470655,4.8404573553015,Amsterdam,Voetbalveldje Sloterdijk,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=29072,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29072
Bok de Korverweg 10,28551,52.379326214057,4.7871119007756,Amsterdam,Amsterdam Panthers,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=28551,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28551
IJburg buitenom,28347,52.355692244205,4.9947434363994,Amsterdam,Rondje IJburg,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=28347,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28347
Johan Huizingalaan 761,29033,52.342849,4.828754,Amsterdam,Stadswild HQ,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=29033,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29033
Koningin Wilhelminalaan 2-4,29097,52.355526135209,4.8387113788164,Amsterdam,Sport 1,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=29097,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29097
Notweg 32,28719,52.363571176873,4.8005670225831,Amsterdam,Nederlandse WingTsun Organisatie,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=28719,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28719
Ouderkerkerdijk 150,30134,52.32862548843,4.9034321308136,Amsterdam,survival vereniging APGS,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=30134,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30134
Overschiestraat 194,29120,52.343409434492,4.8382885802734,Amsterdam,KNVB West I,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=29120,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29120
Postjesweg 106-1,29204,52.364292831963,4.8530387878418,Amsterdam,YagoY,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=29204,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29204
Rijnstraat 170,30118,52.34460518298,4.9054820265454,Amsterdam,Yorbody LadyFit,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=30118,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30118
Sportpark de Weeren 5,30688,52.399927986226,4.9574261759682,Amsterdam,Ronald McDonald Sport Centre,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=30688,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30688
Theo van Goghpark,28384,52.350195275823,5.0058370270675,Amsterdam,Stormbaan,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=28384,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28384
Tweede Boerhaavestraat 10,30384,52.359084021458,4.9108329111295,Amsterdam,Amstelcampushal,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=30384,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30384
Uilenstede,29672,52.322055155697,4.8732304573059,Amsterdam,'t Kleine Loopveld,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=29672,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29672
Willinklaan 4,28776,52.370138103252,4.8025856805832,Amsterdam,ROHDA Amsterdam,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=28776,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28776
Zuidelijke Wandelweg,29946,52.33833355591,4.8973774020906,Amsterdam,Tempo Team,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=29946,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29946
,28811,52.33598332455,4.8049134131754,Amsterdam,Sv Nieuw-Sloten,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=28811,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28811
,28829,52.339841,4.808852,Amsterdam,Robic Wielerlab,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=28829,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28829
,28862,52.359773,4.815889,Amsterdam,The Bootcamp Club,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=28862,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28862
,28942,52.369329380585,4.8167198932159,Amsterdam,The Color Run,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=28942,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28942
,28994,52.385842166373,4.8276328541903,Amsterdam,amsterdam panthers,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=28994,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28994
,29083,52.372642064126,4.8405727164838,Amsterdam,Sporthal Laan van Spartaan,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=29083,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29083
,29092,52.368063380079,4.8441736538388,Amsterdam,Health Club Open Air Rembrandpark,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=29092,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29092
,29111,52.354361335707,4.8420809613806,Amsterdam,health city,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=29111,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29111
