address,name,id,lat,lng,location,subCategory,Reviews
"Carrer de Santa Mònica, 4, Barcelona, Spain",Bar Pastís,340054,41.377372,2.17511,Barcelona,,
"Carrer de Santa Mònica, 2C, Barcelona, Spain",Before,340058,41.377395,2.175279,Barcelona,,
"Carrer de Santa Joana d'Arc, 34, Barcelona, Spain",Artpa S.l.,334906,41.428424,2.158589,Barcelona,,
"Carrer de Santa Fe de Nou Mèxic, 8, Barcelona, Spain",ÁNDELE Cinesa Diagonal,337334,41.393997,2.136274,Barcelona,,
"Carrer de Santa Fe de Nou Mèxic, 8, Barcelona, Spain",Burger King Santa Fe Barcelona,337296,41.393947,2.13563,Barcelona,,
"Carrer de Santa Fe de Nou Mèxic, 18, Barcelona, Spain",Bon S.l.,334448,41.394232,2.137324,Barcelona,,
"Carrer de Santa Fe de Nou Mèxic, 18, Barcelona, Spain",Heladería Crepería BELLAMIA,334444,41.394335,2.137554,Barcelona,,
"Carrer de Santa Engràcia, 103, Barcelona, Spain",Juan Ciprés Cadau,334609,41.441852,2.179428,Barcelona,,
"Carrer de Santa Coloma, 2, Barcelona, Spain",El Racó de l'Avi Melcior,138542,41.431221,2.193048,Barcelona,,
"Carrer de Santa Carolina, 48, Barcelona, Spain",La Girella,336023,41.411627,2.1712,Barcelona,,
"Carrer de Santa Anna, 8, Barcelona, Spain",Santa Anna,339442,41.384987,2.17118,Barcelona,,
"Carrer de Santa Anna, 27, Barcelona, Spain",Jauja,339177,41.385641,2.17185,Barcelona,,
"Carrer de Santa Anna, 11, Barcelona, Spain",Restaurante Bocatta,339458,41.385102,2.171211,Barcelona,,
"Carrer de Santa Anna, 11, Barcelona, Spain",Self Naturista,339445,41.385094,2.17122,Barcelona,,
"Carrer de Santa Anna, 10, Barcelona, Spain",Jordi Campanals Casanova,339471,41.385097,2.171327,Barcelona,,
"Carrer de Santa Amèlia, 51, Barcelona, Spain",Granja Lino,334381,41.394878,2.125198,Barcelona,,
"Carrer de Santa Amèlia, 51, Barcelona, Spain",Polleria Susana,334384,41.394878,2.125198,Barcelona,,
"Carrer de Santa Amèlia, 22, Barcelona, Spain",FRUITERIA LUCY,334395,41.394702,2.125127,Barcelona,,
"Carrer de Santa Albina, 65, Barcelona, Spain",Petra López Arjona,334878,41.424588,2.150858,Barcelona,,
"Carrer de Santa Àgata, 22, Barcelona, Spain",Junyent,335319,41.404444,2.152926,Barcelona,,
"Carrer de Sant Vicenç, 3, Barcelona, Spain",J A Nadal Giró,339428,41.380582,2.165428,Barcelona,,
"Carrer de Sant Tomàs, 37, Barcelona, Spain",Civit,334544,41.431784,2.158142,Barcelona,,
"Carrer de Sant Sever, Barcelona, Spain",Neri Restaurant,339734,41.383084,2.175386,Barcelona,,
"Carrer de Sant Sever, 3, Barcelona, Spain",La Cassola Restaurant,339728,41.383064,2.175302,Barcelona,,
"Carrer de Sant Salvador, 87, Barcelona, Spain",Eutopia Bar,335320,41.408054,2.155316,Barcelona,,
"Carrer de Sant Salvador, 79, Barcelona, Spain",Mercedes Jiménez Sánchez,335339,41.407932,2.155084,Barcelona,,
"Carrer de Sant Salvador, 79, Barcelona, Spain",Rup Chan Das,335335,41.407932,2.155084,Barcelona,,
"Carrer de Sant Roc, 31, Barcelona, Spain",Fuling Restaurant,340089,41.374727,2.145249,Barcelona,,
"Carrer de Sant Rafael, 24, Barcelona, Spain",Casa Leopoldo,339641,41.379276,2.169557,Barcelona,,
"Carrer de Sant Rafael, 20, Barcelona, Spain",La Cucchiarella,339652,41.379336,2.169672,Barcelona,,
"Carrer de Sant Rafael, 20, Barcelona, Spain",Lucifer Take Away Barcelona,339657,41.379446,2.169933,Barcelona,,
"Carrer de Sant Rafael, 18, Barcelona, Spain",El Cafetí,339643,41.379312,2.169907,Barcelona,,
"Carrer de Sant Quintí, 89, Barcelona, Spain",Catering Arcasa S.L.,335098,41.415005,2.175713,Barcelona,,
"Carrer de Sant Quintí, 70, Barcelona, Spain",Cam Marcel,335165,41.414544,2.176781,Barcelona,,
"Carrer de Sant Quintí, 7, Barcelona, Spain",Fruites I Verdures,336184,41.41225,2.179534,Barcelona,,
"Carrer de Sant Quintí, 37, Barcelona, Spain",Bar New York SL,335163,41.413217,2.178228,Barcelona,,
"Carrer de Sant Quintí, 134, Barcelona, Spain",La Tazza d'Or Restaurant,335091,41.416268,2.174545,Barcelona,,
"Carrer de Sant Quintí, 112, Barcelona, Spain",Bar Esplugas,335103,41.415736,2.175225,Barcelona,,
"Carrer de Sant Quintí, 104, Barcelona, Spain",Myo Scp,335110,41.415485,2.175572,Barcelona,,
"Carrer de Sant Pere Més Baix, 94, Barcelona, Spain",Frutería,339231,41.388811,2.179344,Barcelona,,
"Carrer de Sant Pere Més Baix, 90, Barcelona, Spain",Bodega Maestrazgo,339229,41.388667,2.179244,Barcelona,,
"Carrer de Sant Pere Més Baix, 84, Barcelona, Spain",Carnicería Pepita Valles,339234,41.388473,2.179015,Barcelona,,
"Carrer de Sant Pere Més Baix, 82, Barcelona, Spain",Café Savona,339230,41.388432,2.178961,Barcelona,,
"Carrer de Sant Pere Més Baix, 78, Barcelona, Spain",Pastissería López,339233,41.388345,2.178854,Barcelona,,
"Carrer de Sant Pere Més Baix, 73, Barcelona, Spain",Restaurante la Familia,339228,41.388869,2.179268,Barcelona,,
"Carrer de Sant Pere Més Baix, 69, Barcelona, Spain",Antonio Torrents Vila,339236,41.388679,2.179147,Barcelona,,
"Carrer de Sant Pere Més Baix, 68, Barcelona, Spain",Dulce Diseño El Born,339226,41.388154,2.178595,Barcelona,,
"Carrer de Sant Pere Més Baix, 38, Barcelona, Spain",Cakemania,339273,41.38732,2.177643,Barcelona,,
"Carrer de Sant Pere Més Baix, 36, Barcelona, Spain",Pastisseria Tarraco SL,339274,41.387286,2.177606,Barcelona,,
"Carrer de Sant Pere Més Baix, 30, Barcelona, Spain",bonArea,339267,41.387065,2.177334,Barcelona,,
"Carrer de Sant Pere Més Alt, 74, Barcelona, Spain",Bar Andorra,339224,41.389149,2.178339,Barcelona,,
"Carrer de Sant Pere Més Alt, 64, Barcelona, Spain",Crocante,339239,41.3889,2.17776,Barcelona,,
"Carrer de Sant Pere Més Alt, 4, Barcelona, Spain",Alsur Café (Palau),134257,41.387136,2.175352,Barcelona,,
"Carrer de Sant Pere Més Alt, 31, Barcelona, Spain",Sulcidora S.C.P.,339223,41.388384,2.176658,Barcelona,,
